time_hms,kb_per_sec_in,kb_per_sec_out
12:57:44,0.0,0.0
12:57:45,0.0,0.0
12:57:46,0.07,0.07
12:57:47,0.0,0.14
12:57:48,0.0,0.14
12:57:49,0.0,0.22
12:57:50,0.0,0.22
12:57:51,0.0,0.0
12:57:52,0.0,0.0
12:57:53,0.0,0.0
12:57:54,0.0,0.0
12:57:55,0.0,0.0
12:57:56,0.0,0.0
12:57:57,0.0,0.0
12:57:58,0.0,0.0
12:57:59,0.0,0.0
12:58:00,0.0,0.0
12:58:01,0.07,0.07
12:58:02,0.0,0.07
12:58:03,0.0,0.0
12:58:04,0.0,0.0
12:58:05,0.0,0.42
12:58:06,0.0,0.22
12:58:07,0.0,0.0
12:58:08,0.0,0.0
12:58:09,0.0,0.0
12:58:10,0.0,0.0
12:58:11,0.0,0.0
12:58:12,0.0,0.0
12:58:13,0.0,0.0
12:58:14,13.08,334.01
12:58:15,21.7,591.2
12:58:16,10.73,256.98
12:58:17,25.42,694.16
12:58:18,6.08,205.29
12:58:19,11.55,484.63
12:58:20,9.92,354.45
12:58:21,5.66,295.64
12:58:22,5.32,234.82
12:58:23,15.15,819.66
12:58:24,9.11,291.15
12:58:25,9.74,608.47
12:58:26,12.19,561.11
12:58:27,7.4,261.4
12:58:28,6.14,260.1
12:58:29,5.05,307.19
12:58:30,12.68,637.91
12:58:31,8.18,466.64
12:58:32,14.0,696.15
12:58:33,7.48,360.4
12:58:34,16.14,735.55
12:58:35,7.07,344.08
12:58:36,14.13,726.84
12:58:37,6.94,279.43
12:58:38,9.17,555.55
12:58:39,11.85,434.2
12:58:40,12.56,768.47
12:58:41,6.78,258.46
12:58:42,12.52,788.65
12:58:43,13.41,453.44
12:58:44,9.54,712.13
12:58:45,12.77,454.77
12:58:46,9.43,707.38
12:58:47,10.82,419.43
12:58:48,10.69,731.58
12:58:49,11.4,524.27
12:58:50,13.86,822.6
12:58:51,12.67,585.05
12:58:52,7.85,304.27
12:58:53,4.61,153.6
12:58:54,5.91,276.17
12:58:55,10.65,528.64
12:58:56,5.73,175.9
12:58:57,10.84,502.13
12:58:58,6.24,308.84
12:58:59,7.2,376.6
12:59:00,5.18,225.97
12:59:01,8.65,412.44
12:59:02,8.94,345.93
12:59:03,14.07,704.45
12:59:04,6.77,264.36
12:59:05,7.9,543.49
12:59:06,6.13,187.67
12:59:07,9.73,535.97
12:59:08,7.12,259.92
12:59:09,8.12,506.57
12:59:10,9.58,388.72
12:59:11,6.78,320.46
12:59:12,9.41,357.4
12:59:13,10.06,757.54
12:59:14,10.03,357.6
12:59:15,6.2,286.44
12:59:16,9.64,369.44
12:59:17,10.07,543.53
12:59:18,11.46,440.17
12:59:19,11.53,738.37
12:59:20,10.5,518.37
12:59:21,10.49,636.48
12:59:22,12.09,480.31
12:59:23,12.14,689.91
12:59:24,12.52,541.04
12:59:25,9.74,567.14
12:59:26,11.82,533.14
12:59:27,10.1,601.24
12:59:28,14.85,615.86
12:59:29,8.23,481.44
12:59:30,13.84,617.29
12:59:31,11.17,691.47
12:59:32,10.85,646.73
12:59:33,9.67,533.2
12:59:34,14.97,646.89
12:59:35,10.6,546.96
12:59:36,12.7,677.88
12:59:37,8.97,509.48
