  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:54:25      7.43    190.34
08:54:26     10.70    458.42
08:54:27     11.69    783.07
08:54:28     11.02    740.99
08:54:29      5.75    421.63
08:54:30      5.81    414.63
08:54:31     10.69    816.49
08:54:32      4.49    265.18
08:54:33      7.54    549.34
08:54:34      3.58    213.81
08:54:35     11.26    854.38
08:54:36      5.31    294.15
08:54:37     11.17    854.65
08:54:38      7.18    421.26
08:54:39      9.16    673.92
08:54:40      2.89     62.36
08:54:41      4.98    357.32
08:54:42      1.79     13.94
08:54:43     11.45    854.39
08:54:44      6.58    344.32
08:54:45     10.86    808.13
08:54:46      7.65    450.65
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:54:47     10.48    767.31
08:54:48      2.95     48.10
08:54:49      8.85    532.78
08:54:50      1.82      4.84
08:54:51      9.48    659.18
08:54:52      8.59    575.77
08:54:53      8.94    578.99
08:54:54     10.65    783.34
08:54:55      9.91    493.05
08:54:56     10.66    362.87
08:54:57      9.54    360.23
08:54:58      9.66    283.49
08:54:59     10.39    280.72
08:55:00      9.52    287.82
08:55:01      6.69    211.84
08:55:02      7.94    273.33
08:55:03      3.50    138.72
08:55:04      8.84    316.30
08:55:05      2.37     68.76
08:55:06      8.09    254.17
08:55:07      3.88    139.67
08:55:08      8.75    322.12
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:55:09      2.69    109.69
08:55:10      5.82    200.68
08:55:11      8.77    253.42
08:55:12      6.01    194.89
08:55:13      0.38     12.50
08:55:14      5.44    187.77
08:55:15      1.74     35.58
08:55:16      4.16    119.91
08:55:17      0.00      0.00
08:55:18      3.36    119.84
08:55:19      1.23     37.50
08:55:20      3.93    158.88
08:55:21      1.14     47.49
08:55:22      3.45     99.49
08:55:23      2.94    107.34
08:55:24      2.79     93.70
08:55:25      3.29    121.00
08:55:26      1.94     50.33
08:55:27      4.45    144.48
08:55:28      1.75     56.12
08:55:29      4.54    170.81
08:55:30      0.90     22.87
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:55:31      3.12    101.76
08:55:32      0.61      9.86
08:55:33      5.11    190.00
08:55:34      0.26      2.63
08:55:35      4.62    174.38
08:55:36      0.00      0.00
08:55:37      5.16    171.40
08:55:38      0.25      0.78
08:55:39     10.02    344.06
08:55:40      2.91     99.28
08:55:41      2.79     98.04
08:55:42      0.38     16.52
08:55:43      1.84     74.96
08:55:44      0.23      9.84
08:55:45      2.70     87.92
08:55:46      0.66     12.11
08:55:47      2.89     93.19
08:55:48      0.09      4.77
08:55:49      3.07     98.04
08:55:50      0.70     13.58
08:55:51      2.51     96.64
08:55:52      0.28      9.92
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:55:53      2.79     99.48
08:55:54      0.38     10.65
08:55:55      2.79    102.42
08:55:56      0.47     12.60
08:55:57      2.88    103.82
08:55:58      0.57     11.98
08:55:59      2.32     96.63
08:56:00      0.38     16.33
08:56:01      1.18     40.25
08:56:02      0.19      4.66
08:56:03      1.18     44.58
08:56:04      0.28     12.53
08:56:05      1.65     63.34
08:56:06      1.61     55.12
08:56:07      1.56     56.12
08:56:08      1.42     56.92
08:56:09      0.90     30.10
08:56:10      1.99     81.06
08:56:11      0.42      2.63
08:56:12      3.45    107.98
08:56:13      0.16      0.00
08:56:14      3.58    108.40
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:56:15      0.00      0.00
08:56:16      3.17    115.96
08:56:17      0.00      0.00
08:56:18      3.26    112.38
08:56:19      0.00      0.00
08:56:20      2.98    117.68
08:56:21      0.00      0.00
08:56:22      2.13     72.06
08:56:23      0.00      0.21
08:56:24      2.03     74.52
08:56:25      0.00      0.00
08:56:26      2.79    102.01
08:56:27      0.00      0.00
08:56:28      2.41     70.04
08:56:29      0.00      0.00
08:56:30      3.74    116.06
08:56:31      0.04      0.11
08:56:32      3.26    122.13
08:56:33      0.00      0.14
08:56:34      3.93    118.07
08:56:35      0.00      0.00
08:56:36      3.26    118.18
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
08:56:37      0.07      0.00
08:56:38      3.07    113.01
08:56:39      0.00      0.07
08:56:40      3.45    114.10
08:56:41      0.14      0.14
08:56:42      2.60     87.92
08:56:43      0.95     29.42
08:56:44      1.56     46.00
08:56:45      2.18     71.91
