  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:05:36      0.00      0.00
09:05:37      0.00      0.00
09:05:38      0.00      0.07
09:05:39      0.00      0.20
09:05:40      0.07      0.07
09:05:41      0.00      0.00
09:05:42      0.00      0.21
09:05:43      0.00      0.00
09:05:44      0.00      0.00
09:05:45      0.00      0.00
09:05:46      0.00      0.00
09:05:47      0.00      0.00
09:05:48      0.00      0.00
09:05:49      0.00      0.00
09:05:50      0.00      0.00
09:05:51      0.00      0.00
09:05:52      0.00      0.00
09:05:53      0.00      0.00
09:05:54      0.00      0.14
09:05:55      0.00      0.00
09:05:56      0.00      0.07
09:05:57      0.00      0.07
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:05:58      0.00      0.21
09:05:59      0.07      0.07
09:06:00      0.00      0.00
09:06:01      0.00      0.00
09:06:02      0.00      0.00
09:06:03      0.00      0.00
09:06:04      0.00      0.00
09:06:05      0.04      0.04
09:06:06      9.88    364.50
09:06:07     20.23    579.47
09:06:08     12.03    571.56
09:06:09     10.69    491.79
09:06:10     10.89    501.14
09:06:11      9.07    447.51
09:06:12      9.67    540.84
09:06:13     10.87    556.80
09:06:14      9.26    496.43
09:06:15     13.26    674.92
09:06:16      9.38    477.06
09:06:17     13.49    784.24
09:06:18     11.85    552.35
09:06:19     11.86    629.15
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:06:20      9.57    608.71
09:06:21     10.49    590.75
09:06:22     12.46    726.63
09:06:23     11.65    855.11
09:06:24     13.32    716.61
09:06:25     12.68    853.70
09:06:26     12.08    662.30
09:06:27     13.64    850.75
09:06:28     10.45    639.49
09:06:29     14.47    746.30
09:06:30     12.13    737.22
09:06:31     13.94    846.32
09:06:32      9.53    661.63
09:06:33     11.25    537.85
09:06:34     12.31    703.33
09:06:35     10.34    546.46
09:06:36      9.18    649.81
09:06:37     13.29    855.11
09:06:38     11.20    741.39
09:06:39     14.11    854.37
09:06:40     10.30    739.91
09:06:41     12.45    855.13
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:06:42     10.47    735.98
09:06:43     12.10    855.11
09:06:44     11.35    738.44
09:06:45     11.27    852.16
09:06:46     12.92    766.56
09:06:47     13.48    790.15
09:06:48     10.95    790.15
09:06:49     11.86    803.38
09:06:50     13.07    817.40
09:06:51     12.37    775.36
09:06:52     11.66    837.40
09:06:53     11.38    760.59
09:06:54     11.66    852.46
09:06:55     11.63    739.95
09:06:56     15.39    853.64
09:06:57     11.44    753.21
09:06:58     13.10    855.49
09:06:59     11.28    759.11
09:07:00     11.40    855.11
09:07:01     12.85    741.42
09:07:02     12.17    853.97
09:07:03     11.77    790.12
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:07:04     12.06    854.49
09:07:05     11.47    781.27
09:07:06     12.69    853.64
09:07:07     10.44    765.48
09:07:08     11.46    855.09
09:07:09     10.85    760.57
09:07:10     12.23    855.14
09:07:11     11.22    741.72
09:07:12     13.41    855.11
09:07:13     11.52    645.38
09:07:14     13.86    807.80
09:07:15     11.53    820.11
09:07:16     11.75    828.53
09:07:17     11.15    784.24
09:07:18     12.18    838.86
09:07:19     11.08    760.92
09:07:20     11.78    830.00
09:07:21     10.83    769.46
09:07:22     11.40    827.04
09:07:23     13.18    771.16
09:07:24     11.52    821.14
09:07:25     10.92    778.34
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:07:26     13.27    832.94
09:07:27     10.95    812.87
09:07:28     11.20    782.74
09:07:29     12.67    832.96
09:07:30     11.23    816.71
09:07:31     11.14    851.05
09:07:32     11.48    757.63
09:07:33     11.20    852.22
09:07:34     12.77    778.52
09:07:35     11.79    854.03
09:07:36     11.60    754.67
09:07:37     11.33    855.18
09:07:38     11.50    781.85
09:07:39     12.27    853.68
09:07:40     10.31    770.14
09:07:41     12.59    854.40
09:07:42     10.83    739.93
09:07:43     12.59    853.63
09:07:44     12.49    769.49
09:07:45     13.55    855.64
09:07:46     10.85    754.67
09:07:47     11.91    853.62
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
09:07:48     11.29    759.11
09:07:49     11.79    854.02
09:07:50      9.91    742.84
09:07:51     11.93    855.11
09:07:52     12.30    747.30
09:07:53     12.51    854.06
09:07:54     11.96    744.89
09:07:55     12.86    853.67
09:07:56     10.17    739.92
09:07:57     12.95    854.47
09:07:58     10.31    738.44
09:07:59     14.15    854.37
09:08:00     11.36    756.16
09:08:01     11.33    840.33
09:08:02     13.05    810.15
09:08:03     12.37    853.66
09:08:04     10.95    797.93
09:08:05     12.63    853.63
09:08:06      3.14    123.56
